,public_key,bits,algorithm,time,memory_mb
178,133911825431767,48,Pollard p-1,0.0810964870033785,0.0235481262207031
179,145817686389229,48,Fermat,0.1487394299983861,0.000213623046875
180,145817686389229,48,Lenstra,3.179486473003635,0.0017547607421875
181,145817686389229,48,Pollard Rho,0.0103826999984448,0.0003204345703125
182,145817686389229,48,Pollard p-1,0.6472348690003855,0.0582466125488281
183,160666531265971,48,Fermat,0.0978792800015071,0.000213623046875
184,160666531265971,48,Lenstra,0.7323858279996784,0.0016937255859375
185,160666531265971,48,Pollard Rho,0.0059114120012964,0.0003204345703125
186,160666531265971,48,Pollard p-1,2.5818558630053303,0.1018791198730468
187,167604244402849,48,Fermat,0.6795506459966418,0.000213623046875
188,167604244402849,48,Lenstra,0.9703715569994528,0.0017242431640625
189,167604244402849,48,Pollard Rho,0.0084801510020042,0.0003204345703125
190,167604244402849,48,Pollard p-1,48.17878566400032,0.3256721496582031
191,187292224431751,48,Fermat,0.6671797579983831,0.000213623046875
192,187292224431751,48,Lenstra,3.986842361999152,0.0017814636230468
193,187292224431751,48,Pollard Rho,0.0257824270011042,0.0003204345703125
194,1581539099388197,52,Fermat,3.7240999517962337e-05,0.0002098083496093
195,1581539099388197,52,Lenstra,3.702454482998292,0.0018424987792968
196,1581539099388197,52,Pollard Rho,0.0387075269973138,0.0003204345703125
197,1687788324089509,52,Fermat,0.0129504969954723,0.000213623046875
198,1687788324089509,52,Lenstra,3.778216749000421,0.0018730163574218
199,1687788324089509,52,Pollard Rho,0.0425685509981121,0.0003204345703125
200,1687788324089509,52,Pollard p-1,0.6013317269971594,0.0583152770996093
201,2085814065167611,52,Fermat,1.4861308620020282,0.000213623046875
202,2085814065167611,52,Lenstra,1.040189316998294,0.0018424987792968
203,2085814065167611,52,Pollard Rho,0.0225804750007228,0.0003204345703125
204,2085814065167611,52,Pollard p-1,2.965668258999358,0.1109542846679687
205,2388838954481869,52,Fermat,0.4252942759994766,0.000213623046875
206,2388838954481869,52,Lenstra,0.096399972004292,0.0017204284667968
207,2388838954481869,52,Pollard Rho,0.0232629070014809,0.0003204345703125
208,2484305666501851,52,Fermat,0.5161460429953877,0.000213623046875
209,2484305666501851,52,Lenstra,4.008682221996423,0.0018768310546875
210,2484305666501851,52,Pollard Rho,0.0181250469977385,0.0003204345703125
211,2568310539189443,52,Fermat,1.569504129998677,0.000213623046875
212,2568310539189443,52,Lenstra,0.96841179200419,0.0017852783203125
213,2568310539189443,52,Pollard Rho,0.0265375989984022,0.0003204345703125
214,2568310539189443,52,Pollard p-1,0.0574601660046028,0.0214500427246093
215,2618410120243987,52,Fermat,4.820221412002866,0.000213623046875
216,2618410120243987,52,Lenstra,0.5994328319939086,0.0018424987792968
217,2618410120243987,52,Pollard Rho,0.0166485649970127,0.0003204345703125
218,2618410120243987,52,Pollard p-1,1.1179373060003854,0.0764503479003906
219,2701875072397031,52,Fermat,4.0864694279953255,0.000213623046875
220,2701875072397031,52,Lenstra,6.01618962399516,0.0018768310546875
221,2701875072397031,52,Pollard Rho,0.0481172809959389,0.0003204345703125
222,3141090041004211,52,Fermat,0.9681458770064636,0.000213623046875
223,3141090041004211,52,Lenstra,0.5481093020061962,0.0018119812011718
224,3141090041004211,52,Pollard Rho,0.0001738409991958,0.0003204345703125
225,3527534942542801,52,Fermat,0.6399398150024354,0.000213623046875
226,3527534942542801,52,Lenstra,2.3422042839956703,0.0019340515136718
227,3527534942542801,52,Pollard Rho,0.0180481360002886,0.0003204345703125
228,"2,68240641746936E+016",56,Fermat,2.2525035200014827,0.000213623046875
229,"2,68240641746936E+016",56,Lenstra,3.4819501749952906,0.0019035339355468
230,"2,68240641746936E+016",56,Pollard Rho,0.041711193996889,0.0003204345703125
231,"2,68240641746936E+016",56,Pollard p-1,0.9289314420020672,0.0720329284667968
232,"4,05645339613379E+016",56,Fermat,0.8492952369997511,0.000213623046875
233,"4,05645339613379E+016",56,Lenstra,6.019238962995587,0.0019683837890625
234,"4,05645339613379E+016",56,Pollard Rho,0.0168649820043356,0.0003204345703125
235,"4,08421549239275E+016",56,Fermat,13.074675782001576,0.000213623046875
236,"4,08421549239275E+016",56,Lenstra,4.3319970879965695,0.0019340515136718
237,"4,08421549239275E+016",56,Pollard Rho,0.0661769470025319,0.0003204345703125
238,"4,69225692022103E+016",56,Fermat,2.2553973399990355,0.000213623046875
239,"4,69225692022103E+016",56,Lenstra,0.0582381429994711,0.0017509460449218
240,"4,69225692022103E+016",56,Pollard Rho,0.0698451950011076,0.0003204345703125
241,"4,71288002108089E+016",56,Fermat,1.7617795229962212,0.000213623046875
242,"4,71288002108089E+016",56,Lenstra,3.486404652001511,0.0019989013671875
243,"4,71288002108089E+016",56,Pollard Rho,0.0628885080004693,0.0003204345703125
244,"4,7463284509797E+016",56,Fermat,3.3946820679993834,0.000213623046875
245,"4,7463284509797E+016",56,Lenstra,1.974080658001185,0.0019378662109375
246,"4,7463284509797E+016",56,Pollard Rho,0.0669941649975953,0.0003204345703125
247,"4,7463284509797E+016",56,Pollard p-1,0.1060463440007879,0.0292816162109375
248,"5,05133815591654E+016",56,Fermat,0.6851387459973921,0.000213623046875
249,"5,05133815591654E+016",56,Lenstra,27.498554965997755,0.0020561218261718
250,"5,05133815591654E+016",56,Pollard Rho,0.059681177001039,0.0003204345703125
251,"5,05133815591654E+016",56,Pollard p-1,0.0013645700018969,0.003204345703125
252,"5,33923353173337E+016",56,Fermat,0.8727288270019926,0.000213623046875
253,"5,33923353173337E+016",56,Lenstra,11.543995394997182,0.0020256042480468
254,"5,33923353173337E+016",56,Pollard Rho,0.0258010239995201,0.0003204345703125
255,"5,33923353173337E+016",56,Pollard p-1,11.815097293998406,0.1983413696289062
256,"6,65723970289005E+016",56,Fermat,0.0017976149974856,0.000213623046875
257,"6,65723970289005E+016",56,Lenstra,10.637428007998096,0.0020256042480468
258,"6,65723970289005E+016",56,Pollard Rho,0.0835014640033477,0.0003204345703125
259,"6,78710632098375E+016",56,Fermat,0.0296474130009301,0.000213623046875
260,"6,78710632098375E+016",56,Lenstra,2.0128661279959488,0.0019683837890625
261,"6,78710632098375E+016",56,Pollard Rho,0.0374260579992551,0.0003204345703125
262,"4,20585517717634E+017",60,Fermat,9.361065338001936,0.000213623046875
263,"4,20585517717634E+017",60,Lenstra,13.110832594000383,0.0020561218261718
264,"4,20585517717634E+017",60,Pollard Rho,0.2301738589958404,0.0003204345703125
265,"4,71981215873536E+017",60,Fermat,6.467421175002528,0.000213623046875
266,"4,71981215873536E+017",60,Lenstra,37.2901572999981,0.0020904541015625
267,"4,71981215873536E+017",60,Pollard Rho,0.1591444890000275,0.0003204345703125
268,"5,09123959069071E+017",60,Lenstra,3.5263668400002643,0.0021476745605468
269,"5,09123959069071E+017",60,Pollard Rho,0.0171117429999867,0.0003204345703125
270,"5,68819965508386E+017",60,Lenstra,14.055653538001934,0.0020599365234375
271,"5,68819965508386E+017",60,Pollard Rho,0.0909536899998784,0.0003204345703125
272,"6,05265104599522E+017",60,Fermat,0.0560196160004125,0.000213623046875
273,"6,05265104599522E+017",60,Lenstra,2.922750474994245,0.0020256042480468
274,"6,05265104599522E+017",60,Pollard Rho,0.0835265779969631,0.0003204345703125
275,"6,19549948132213E+017",60,Lenstra,6.714720144002058,0.0020599365234375
276,"6,19549948132213E+017",60,Pollard Rho,0.1227173260049312,0.0003204345703125
277,"7,33838565371897E+017",60,Fermat,17.629963095001585,0.000213623046875
278,"7,33838565371897E+017",60,Lenstra,34.23636436900415,0.0020904541015625
279,"7,33838565371897E+017",60,Pollard Rho,0.107867159997113,0.0003204345703125
280,"7,33838565371897E+017",60,Pollard p-1,0.1152196870025363,0.0313949584960937
281,"7,63618151374995E+017",60,Fermat,2.891506889995071,0.000213623046875
282,"7,63618151374995E+017",60,Lenstra,11.451340134997736,0.0020599365234375
283,"7,63618151374995E+017",60,Pollard Rho,0.1492259730002842,0.0003204345703125
284,"8,55755423574618E+017",60,Fermat,0.0246977019996847,0.000213623046875
285,"8,55755423574618E+017",60,Lenstra,1.595569520999561,0.0019989013671875
286,"8,55755423574618E+017",60,Pollard Rho,0.0296503099962137,0.0003204345703125
287,"9,0108848079102E+017",60,Fermat,16.440461251004308,0.000213623046875
288,"9,0108848079102E+017",60,Lenstra,4.311256345004949,0.0020866394042968
